111	ハイドン	Haydn	交響曲第92番	Symphony No.92	不明	F.O.	×	スコア、Trp2なし											
112	ハイドン	Haydn	交響曲第94番「驚愕」	Symphony No.94	Breitkopf&Haertels	F.O.	×	スコア											
113	ハイドン	Haydn	交響曲第103番「太鼓連打」	Symphony No.103	Haydn-Mozart Presse	F.O.	×	スコア、Picc、Cl2、Fg1、Vc、Cb											
114	ハイドン	Haydn	弦楽四重奏曲ヘ長調	Streichquartett F-dur	Doblinger	Quartet	×	スコアなし											
115	ヒンデミット	Hindemith	ウェーバーの主題による交響的変容	Symphony Metamorphosen	Schotts	F.O.	×	スコア、Hr2、Vn2											
116	ホルスト	Holst	"「惑星」組曲より""木星"""	"""Jupiter"" from Suite ""The Planets"""	不明	F.O.	×	スコアなし											
117	オネゲル	Honneger	交響曲第5番「三つのレ」	"Symphony No.5 ""Di Tre Re"""	不明	F.O.	×	スコアのみ											
118	フンパーディンク	Humperdinck	ヘンゼルとグレーテル序曲	"""Prelude"" Hansel and Gretel"	Kalmus	F.O.	×	スコアなし											
120	カバレフスキー	Kabalevsky	組曲「道化師」	The Comedians	不明	F.O.	×	スコア、Picc、Trp1なし											
121	ハチャトゥリアン	Khachaturian	バレエ「ガイーヌ」より「レジンカ」	"""Lezchinka"" from ""Gayaneh"""	Boosey&Hawkes	F.O.	○	arranged by Harold Perry											
122	ハチャトゥリアン	Khachaturian	バレエ「ガイーヌ」より「ララバイ」	"""Lullaby"" from ""Gayaneh"""	Boosey&Hawkes	F.O.	×	スコアなし											
123	ハチャトゥリアン	Khachaturian	バレエ「ガイーヌ」より「ゴパック」	"""Gopak"" from ""Gayaneh"""	Ansomus Octavo Ed.	F.O.	○	arranged											
124	コダーイ	Kodaly	組曲「ハーリー・ヤノーシュ」	Hary Janes-Suite	Universal-Edition	F.O.	×	"スコア、Fl3、Hr1〜4、Trb1,2、BTrb、Tb、Vc、Cb、Timp"											
125	コダーイ	Kodaly	孔雀の主題による　変奏曲			F.O.													
126	リスト	Liszt	交響詩「前奏曲」	Les Preludes	Breitkopf&Haertels	F.O.	×	スコアなし											
127	レハール	Lehar	金と銀			F.O.	×	スコアなし											
128	マーラー	Mahler	交響曲第１番「巨人」	"Symphony No.1 ""Titan"""	Universal-Edition	F.O.	×	Hr.パート譜											

129	マーラー	Mahler	交響曲第２番「復活」	"Symphony No.2 ""Resurrection"""	Universal-Edition	F.O.	○	"Hr6,Trp3なし→補充"											
130	マーラー	Mahler	交響曲第５番	Symphony No.5	Peters	F.O.	×	BTrbなし											
131	マーラー	Mahler	交響曲第６番「悲劇的」	"Symphony No.6 ""Pathetique"""	Kalmus	F.O.	×	"スコア、Picc、Fl1〜3、Ob1,2、E..H.、Cl1,2、BCl、Fg1,2、CFg、Va"											
132	マーラー	Mahler	交響曲第7番「夜の歌」	"Symphony No.7 ""Nachtmusik"""	Bote&Bock	F.O.	×	"Hp1,2、Guitar、Mandolin、Timp、Percussions"											
